,CMP_SPEED,POWER,FUEL_FLOW,CO2
01/01/2021 00:00,5589.869257,4900.793536,0.451668517,1.229984784
01/01/2021 01:00,5586.765793,4879.848427,0.450786106,1.227581801
01/01/2021 02:00,5599.140667,4902.774026,0.45168623,1.230033021
01/01/2021 03:00,5601.607464,4902.992111,0.451230477,1.228791915
01/01/2021 04:00,5573.922031,4878.853341,0.450572289,1.226999536
01/01/2021 05:00,5591.620394,4888.93311,0.450600282,1.227075765
01/01/2021 06:00,5600.88466,4932.142574,0.452898802,1.233335101
01/01/2021 07:00,5597.319034,4914.030315,0.451336502,1.229080642
01/01/2021 08:00,5574.87528,4884.055738,0.450510624,1.226831608
01/01/2021 09:00,5577.443725,4879.725386,0.449781864,1.224847047
01/01/2021 10:00,5577.442618,4885.626162,0.45073921,1.227454096
01/01/2021 11:00,5597.394262,4926.358044,0.452086368,1.231122678
01/01/2021 12:00,5582.413982,4900.903016,0.451107565,1.2284572
01/01/2021 13:00,5572.803733,4868.273002,0.449323873,1.223599846
01/01/2021 14:00,5550.562824,4831.251219,0.447828596,1.219527903
01/01/2021 15:00,5534.38203,4801.715448,0.446626045,1.216253115
01/01/2021 16:00,5561.118348,4852.707717,0.448436597,1.221183613
01/01/2021 17:00,5550.474609,4827.115303,0.447712746,1.219212421
01/01/2021 18:00,5584.238761,4890.39011,0.450636301,1.227173851
01/01/2021 19:00,5572.396551,4884.563319,0.4503335,1.226349264
01/01/2021 20:00,5568.090233,4875.007493,0.450525201,1.226871304
01/01/2021 21:00,5573.398245,4886.195088,0.450379021,1.226473228
01/01/2021 22:00,5587.364299,4890.705365,0.450107078,1.225732672
01/01/2021 23:00,5580.939664,4873.684086,0.449555798,1.224231423
02/01/2021 00:00,5563.812572,4858.265491,0.448829417,1.22225334
02/01/2021 01:00,5551.152866,4835.416943,0.447601968,1.21891075
02/01/2021 02:00,5524.465875,4792.652833,0.445941415,1.214388727
02/01/2021 03:00,5490.235518,4729.145812,0.443223709,1.206987863
02/01/2021 04:00,5491.729989,4718.779247,0.44302701,1.206452212
02/01/2021 05:00,5487.954914,4736.139321,0.444066794,1.209283754
02/01/2021 06:00,5488.832809,4717.662639,0.44263985,1.205397899
02/01/2021 07:00,5517.223284,4757.087067,0.444498205,1.210458575
02/01/2021 08:00,5515.083813,4782.929175,0.446060532,1.214713108
02/01/2021 09:00,5508.989947,4764.706899,0.445166899,1.212279565
02/01/2021 10:00,5511.853291,4759.6223,0.444479792,1.210408431
02/01/2021 11:00,5507.069998,4757.556462,0.445349403,1.212776559
02/01/2021 12:00,5503.543781,4749.925301,0.444385242,1.210150954
02/01/2021 13:00,5496.2579,4728.94655,0.443922225,1.208890065
02/01/2021 14:00,5505.800224,4754.908474,0.445176966,1.212306978
02/01/2021 15:00,5474.512087,4684.552052,0.441899022,1.203380474
02/01/2021 16:00,5472.512486,4669.875274,0.440811977,1.200420229
02/01/2021 17:00,5454.772158,4647.421129,0.440863903,1.200561634
02/01/2021 18:00,5455.102916,4658.905458,0.44097106,1.200853445
02/01/2021 19:00,5474.622055,4688.185437,0.442422859,1.204806988
02/01/2021 20:00,5453.162273,4628.026691,0.43938274,1.196528128
02/01/2021 21:00,5462.313762,4647.139045,0.440642969,1.199959986
02/01/2021 22:00,5454.55537,4643.164318,0.440317308,1.199073145
02/01/2021 23:00,5444.426736,4619.421101,0.439884826,1.19789541
03/01/2021 00:00,5452.493905,4615.762765,0.438810149,1.194968847
03/01/2021 01:00,5448.134205,4613.1083,0.43898151,1.195435497
03/01/2021 02:00,5441.926104,4598.183101,0.438053613,1.192908646
03/01/2021 03:00,5462.440337,4646.907659,0.441360151,1.20191302
03/01/2021 04:00,5476.369792,4676.843282,0.442696178,1.20555129
03/01/2021 05:00,5472.780921,4648.815673,0.441194334,1.201461465
03/01/2021 06:00,5471.695926,4661.565204,0.442224016,1.204265497
03/01/2021 07:00,5470.683354,4631.728343,0.440478324,1.199511624
03/01/2021 08:00,5458.26915,4615.39871,0.439302575,1.196309822
03/01/2021 09:00,5447.577744,4583.277639,0.438323992,1.193644944
03/01/2021 10:00,5499.354351,4670.084991,0.442148702,1.204060404
03/01/2021 11:00,5477.758135,4640.572398,0.4407089,1.200139529
03/01/2021 12:00,5464.443645,4626.498594,0.44064783,1.199973225
03/01/2021 13:00,5455.471661,4606.220508,0.439870399,1.197856121
03/01/2021 14:00,5459.365543,4610.475269,0.440142064,1.19859592
03/01/2021 15:00,5436.167582,4562.923303,0.43849468,1.194109762
03/01/2021 16:00,5438.287426,4559.211951,0.438312478,1.193613587
03/01/2021 17:00,5436.593728,4551.907265,0.4379021,1.192496047
03/01/2021 18:00,5412.120979,4523.969511,0.436801583,1.189499115
03/01/2021 19:00,5415.429087,4521.958826,0.436271927,1.188056754
03/01/2021 20:00,5442.152367,4576.828457,0.439229032,1.196109549
03/01/2021 21:00,5446.962014,4579.174387,0.439255657,1.196182056
03/01/2021 22:00,5449.435062,4558.233141,0.438050818,1.192901036
03/01/2021 23:00,5455.708248,4576.081315,0.439388653,1.196544229
04/01/2021 00:00,5445.844178,4550.901497,0.437688656,1.191914794
